,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category,rating,price,review_count,open,close
1303,4538,LUCCA FOOD & WINE SHOP,1899 IRVING St,San Francisco,CA,94122,37.763457,-122.47819799999999,2018-04-20,96.0,Moderate Risk,4.0,$$,497.0,1700,2130
1304,1354,SUSHI TIME,2275 MARKET St,San Francisco,CA,94114,37.764697,-122.432322,2018-04-20,86.0,Low Risk,4.5,,133.0,0730,2000
1305,67489,The Dark Horse Inn,942 Geneva Ave,San Francisco,CA,94112,37.716105,-122.440422,2018-04-20,94.0,Low Risk,,,,,
1306,69383,La Mediterranee,1624 Powell St,San Francisco,CA,94133,37.799639,-122.410657,2018-04-20,98.0,Low Risk,,,,,
1307,3252,LITTLE JOES PIZZA REST.,5006 MISSION St,San Francisco,CA,94112,37.718359,-122.439655,2018-04-20,90.0,Low Risk,,,,,
1308,3615,TARTINE BAKERY,0600 GUERRERO St,San Francisco,CA,94110,37.761531,-122.42386200000001,2018-04-23,96.0,Moderate Risk,4.0,$$$,654.0,1700,2200
1309,1742,McAllister Grocery & Deli,136 McAllister St,San Francisco,CA,94102,37.780916,-122.41431200000001,2018-04-23,90.0,Low Risk,3.0,$$,512.0,1100,0100
1310,2737,CAFFE' ROMA,885 Bryant St,San Francisco,CA,94103,37.774677000000004,-122.404222,2018-04-23,90.0,Low Risk,3.5,$,1207.0,1200,0000
1311,3394,The Keystone,68 04th St,San Francisco,CA,94103,37.784915000000005,-122.40483200000001,2018-04-23,89.0,Low Risk,4.0,$$,773.0,1100,2200
1312,463,Sam's Pizza,618 Broadway St,San Francisco,CA,94133,37.797828,-122.407444,2018-04-23,88.0,Moderate Risk,,,,,
1313,3929,"OPERA HOUSE - BASEMENT,LOWER LOUNGE",301 VAN NESS Ave,San Francisco,CA,94102,37.778271999999994,-122.42003100000001,2018-04-23,89.0,High Risk,,,,,
1314,5211,"Wattis Room, The",201 Van Ness Ave,San Francisco,CA,94102,37.777282,-122.419751,2018-04-23,98.0,Low Risk,,,,,
1315,4025,SING SING,309 HYDE St,San Francisco,CA,94109,37.783854999999996,-122.41598400000001,2018-04-23,90.0,Low Risk,,,,,
1316,2559,HAI'S RESTAURANT,227 HYDE St,San Francisco,CA,94102,37.782953000000006,-122.41580400000001,2018-04-23,90.0,Low Risk,4.0,$,672.0,1100,2200
1317,70723,Dirty Habit,12 04th St,San Francisco,CA,94103,37.785388,-122.405369,2018-04-23,91.0,High Risk,,,,,
1318,40001,Nopalito,306 Broderick St,San Francisco,CA,94117,37.773348,-122.43914699999999,2018-04-23,90.0,Low Risk,,,,,
1319,3393,DON RAMON,225 11th St,San Francisco,CA,94103,37.772764,-122.41508200000001,2018-04-24,96.0,Moderate Risk,,,,,
1320,14429,Little Star Pizza,846 Divisadero,San Francisco,CA,94117,37.777488,-122.43825700000001,2018-04-24,100.0,,3.5,$$,1559.0,1100,1600
1321,63918,Cotogna,490 Pacific Ave,San Francisco,CA,94133,37.797378,-122.40334399999999,2018-04-24,100.0,,4.5,,22.0,0700,1700
1322,40123,Saffron Grill,1279 Fulton st,San Francisco,CA,94117,37.776853,-122.43778300000001,2018-04-24,80.0,Low Risk,4.0,,17.0,,
1323,13041,Coi,373 broadway St,San Francisco,CA,94133,37.798229,-122.40348999999999,2018-04-24,93.0,High Risk,,,,,
1324,60713,Sightglass Roasters,270 07th St,San Francisco,CA,94103,37.777094,-122.40836000000002,2018-04-24,100.0,,3.0,$,100.0,,
1325,69110,Chez Maman,401 Gough St,San Francisco,CA,94102,37.776889000000004,-122.42303899999999,2018-04-24,84.0,Low Risk,,,,,
1326,71057,The Creamery,685 04th St,San Francisco,CA,94107,37.777393,-122.39526000000001,2018-04-24,90.0,Low Risk,,,,,
1327,36474,The Sentinel,35 New Montgomery St,San Francisco,CA,94104,37.788327,-122.401444,2018-04-24,90.0,Moderate Risk,,,,,
