,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category
47,3728,"GOLD CLUB, THE",650 HOWARD St,San Francisco,CA,94105,37.785784,-122.399569,2016-08-10,79.0,Moderate Risk
48,3693,NEW HING LUNG RESTAURANT,1556 NORIEGA St,San Francisco,CA,94122,37.754123,-122.48031,2016-08-16,76.0,High Risk
49,69437,Inticing Creations,438 Clementina St,San Francisco,CA,94103,37.780068,-122.40485,2016-08-17,100.0,
50,69275,Tacos El Tuca,428 11th St,San Francisco,CA,94103,37.769957,-122.41166799999999,2016-08-17,87.0,Low Risk
51,4791,SOUTH PARK CAFE,108 SOUTH PARK St,San Francisco,CA,94107,37.781564,-122.394369,2016-08-22,78.0,High Risk
52,68773,Nopalito,1224 9th Ave,San Francisco,CA,94122,37.765412,-122.466375,2016-08-23,90.0,Low Risk
53,65427,Locanda,557 VALENCIA St,San Francisco,CA,94110,37.763984,-122.42176599999999,2016-08-23,92.0,Moderate Risk
54,3073,DELANCEY ST. RESTAURANT,600 EMBARCADERO St,San Francisco,CA,94107,37.783884,-122.388295,2016-08-23,70.0,Moderate Risk
55,67510,Subway Sandwiches,215 Fremont St,San Francisco,CA,94105,37.788864000000004,-122.39461299999999,2016-08-24,94.0,Low Risk
56,65856,Bamboo Asia,41 Montgomery St,San Francisco,CA,94101,37.774998,-122.418299,2016-08-25,77.0,Moderate Risk
57,3116,Sam's Grill,374 Bush St,San Francisco,CA,94104,37.790858,-122.403553,2016-08-26,93.0,High Risk
58,18422,Pisces California Cuisine,3416 Judah st,San Francisco,CA,94122,37.760769,-122.498792,2016-08-30,98.0,Low Risk
59,61550,Barbacco Eno-Trattoria,220 California St,San Francisco,CA,94111,37.793419,-122.39908799999999,2016-08-31,86.0,High Risk
60,32586,Terroir,81 Langton St,San Francisco,CA,94103,37.776494,-122.40856200000002,2016-09-06,96.0,Low Risk
61,1631,Casa Mexicana Restaurant,3917 24th St,San Francisco,CA,94114,37.751513,-122.43017900000001,2016-09-06,77.0,Low Risk
62,4917,LA VICTORIA BAKERY,2937 24th St,San Francisco,CA,94110,37.752373,-122.410876,2016-09-06,78.0,Low Risk
63,397,View Lounge,55 04th St,San Francisco,CA,94103,37.784964,-122.404752,2016-09-09,94.0,Low Risk
64,63971,Munchboxx,643 Clay St,San Francisco,CA,94111,37.794554,-122.403827,2016-09-12,96.0,Low Risk
65,68431,Bon Appetit @ Adobe,601 TOWNSEND STREET,San Francisco,CA,94107,37.771741999999996,-122.401677,2016-09-20,90.0,Low Risk
66,64377,Leopold's,2400 Polk St,San Francisco,CA,94109,37.798887,-122.42231699999999,2016-09-22,94.0,Moderate Risk
67,1626,LUPA TRATTORIA,4109 24th St,San Francisco,CA,94114,37.751243,-122.434529,2016-10-03,92.0,Low Risk
68,33851,Thee Parkside,1600 17th St,San Francisco,CA,94107,37.764987,-122.399872,2016-10-18,85.0,Low Risk
69,33891,Harlot,46 Minna St,San Francisco,CA,94105,37.788656,-122.398009,2016-10-22,85.0,
70,66901,Camp,4014 GEARY Blvd,San Francisco,CA,94118,37.781197999999996,-122.462511,2016-10-26,86.0,Low Risk
71,57601,Gemini - San Francisco Bay Concessionaires,Pier 41,San Francisco,CA,94133,37.808494,-122.412,2016-10-27,98.0,Low Risk
72,7599,Intintoli,Pier 41,San Francisco,CA,94133,37.808494,-122.412,2016-10-27,98.0,Low Risk
73,62674,Chipotle Mexican Grill #1230,232 O'Farrell St,San Francisco,CA,94102,37.786387,-122.40860500000001,2016-10-28,100.0,
74,1219,PAZZO,2 HENRY ADAMS St,San Francisco,CA,94103,37.769287,-122.403974,2016-10-31,91.0,High Risk
